Patient_ID,First_Name,Last_Name,Gender,Date_of_Birth,Address,Phone_Number,Email,Emergency_Contact,Insurance_Details,Admission_Date,Discharge_Date,Current_Ward,Condition,Treatment,Bank_Details,Status,Password,Password_Hash,Appointment_ID
PID011,William,Lee,Male,1996-01-18,"808 Cedar St, Downtown",555-3456,william.lee@example.com,Laura Lee (Parent),ABC Insurance,2019-11-05,,WNID003,Critical,Surgery,Banking Information ABC,Active,5BE395779A,B6926A5C45E7BF3A315237C56EF89DB2,
PID012,Laura,Clark,Female,1980-05-30,"909 Maple St, City",555-6789,laura.clark@example.com,John Clark (Spouse),DEF Insurance,2020-03-15,,WNID004,Stable,Physical Therapy,Banking Information DEF,Active,F86A806C5D,6FE7B37034909C4057DD8090099A9354,
PID013,Emily,Adams,Female,1995-08-15,"1010 Oak St, Suburb",555-4321,emily.adams@example.com,Sarah Adams (Parent),GHI Insurance,2020-06-10,,WNID001,Stable,Observation,Banking Information GHI,Active,F08EF9BD03,CDF83992EC049183283E40E2B3401F46,
PID014,Daniel,Perez,Male,1978-11-28,"1111 Cedar St, Downtown",555-7654,daniel.perez@example.com,Maria Perez (Spouse),JKL Insurance,2020-09-20,,WNID002,Recovering,Medication,Banking Information JKL,Active,0052F597C2,DA99A484A34FB2C64CCE6769BF6336A9,
PID015,Emma,Turner,Female,1989-04-03,"1212 Maple St, City",555-0987,emma.turner@example.com,David Turner (Sibling),MNO Insurance,2020-12-15,,WNID003,Critical,Surgery,Banking Information MNO,Active,AAF847F7B0,3E57BE543978F83ED91E60E2099AD5FD,
PID016,James,Gonzalez,Male,1965-10-10,"1313 Walnut St, Town",555-3210,james.gonzalez@example.com,Linda Gonzalez (Spouse),PQR Insurance,2021-02-28,,WNID004,Stable,Physical Therapy,Banking Information PQR,Active,235AB11403,5AC2728E04D0317690E2D57F4B29BA1C,
PID017,Olivia,Scott,Female,1973-03-18,"1414 Pine St, Countryside",555-6543,olivia.scott@example.com,Robert Scott (Parent),STU Insurance,2021-05-10,,WNID001,Recovering,Observation,Banking Information STU,Active,06D57601F2,A343AF59CC4428E54F4224CC2E324C9E,
PID018,Michael,Robinson,Male,1984-07-25,"1515 Elm St, Suburb",555-9876,michael.robinson@example.com,Karen Robinson (Spouse),VWX Insurance,2021-08-20,,WNID002,Improving,Medication,Banking Information VWX,Active,427274BCD1,347C006CB8E4B4FEFDECA02BE3045DEE,
PID019,Sophia,Nguyen,Female,1990-12-08,"1616 Cedar St, Downtown",555-2345,sophia.nguyen@example.com,Michael Nguyen (Sibling),YZA Insurance,2021-11-05,,WNID003,Critical,Surgery,Banking Information YZA,Active,97230D8D06,21B969D33618A64CE9F5C6BC1C0D68EC,
PID020,Alexander,King,Male,1976-05-20,"1717 Maple St, City",555-5678,alexander.king@example.com,Emily King (Spouse),ABC Insurance,2022-03-15,,WNID004,Stable,Physical Therapy,Banking Information ABC,Active,4E93957A1C,EE309F4F3F76E9B136DAF824D2EBA3EE,
PID021,Ava,Martinez,Female,1982-09-12,"1818 Walnut St, Town",555-4321,ava.martinez@example.com,Carlos Martinez (Spouse),DEF Insurance,2022-06-10,,WNID001,Stable,Observation,Banking Information DEF,Active,C6E781D7A1,870C39D93B712892283E31A42B89642D,
PID022,William,Hernandez,Male,1970-04-25,"1919 Pine St, Countryside",555-7654,william.hernandez@example.com,Laura Hernandez (Sibling),GHI Insurance,2022-08-20,,WNID002,Recovering,Medication,Banking Information GHI,Active,5EFE7D6CF6,CBD7B2226E8B406C393D3E0A01C72179,
PID023,Madison,Young,Female,1996-11-05,"2020 Elm St, Suburb",555-0987,madison.young@example.com,Justin Young (Parent),JKL Insurance,2022-10-15,,WNID003,Critical,Surgery,Banking Information JKL,Active,DCB5BC8143,A7047CF1A4FBB6A605AC490219525A48,
PID024,Ethan,Wright,Male,1988-03-18,"2121 Cedar St, Downtown",555-3210,ethan.wright@example.com,Sophia Wright (Spouse),MNO Insurance,2023-01-05,,WNID004,Stable,Physical Therapy,Banking Information MNO,Active,796D380D4C,5B77E03409D7DEB5E511B152EFAB9021,
PID025,Isabella,Lopez,Female,1975-07-31,"2222 Maple St, City",555-6543,isabella.lopez@example.com,David Lopez (Parent),PQR Insurance,2023-03-20,,WNID001,Recovering,Observation,Banking Information PQR,Active,A5B3A9D72F,28DE627B8D0EECCD24A5AED980C2FA56,
PID026,Mason,Hill,Male,1993-10-08,"2323 Oak St, Suburb",555-9876,mason.hill@example.com,Jennifer Hill (Spouse),STU Insurance,2023-05-10,,WNID002,Improving,Medication,Banking Information STU,Active,90FB58FB7B,F5652BA9A8532E2644C0B4523509F8DC,
PID027,Chloe,Scott,Female,1980-12-18,"2424 Cedar St, Downtown",555-2345,chloe.scott@example.com,Robert Scott (Parent),VWX Insurance,2023-08-05,,WNID003,Critical,Surgery,Banking Information VWX,Active,3816BFAA72,E28CC9F3B604F27727693A67C9AB6A6E,
PID028,Benjamin,Green,Male,1978-06-20,"2525 Elm St, Suburb",555-5678,benjamin.green@example.com,Amy Green (Spouse),YZA Insurance,2023-09-15,,WNID004,Stable,Physical Therapy,Banking Information YZA,Active,B1832DD5F9,37515F247CA1386F1A20A0F6E96588FD,
PID029,Emma,Adams,Female,1985-08-14,"2626 Walnut St, Town",555-1234,emma.adams@example.com,Michael Adams (Parent),ABC Insurance,2023-11-10,,WNID001,Recovering,Observation,Banking Information ABC,Active,46BF28CD43,30F63325E2FDEBC7228C3DF2A9C2BCD0,
PID030,Lucas,King,Male,1991-02-28,"2727 Pine St, Countryside",555-4567,lucas.king@example.com,Olivia King (Sibling),DEF Insurance,2024-02-05,,WNID002,Improving,Medication,Banking Information DEF,Active,53AFA707B5,65AE972EAE33B4D9737E64B84CA618B1,
PID031,Ella,Baker,Female,1973-05-22,"2828 Elm St, Suburb",555-7890,ella.baker@example.com,Henry Baker (Spouse),GHI Insurance,2024-03-10,,WNID003,Critical,Surgery,Banking Information GHI,Active,6662F23F9E,F0DED520AF17EF4C9A52535BD8434ED1,
PID032,Oliver,Garcia,Male,1980-09-07,"2929 Cedar St, Downtown",555-0987,oliver.garcia@example.com,Sophia Garcia (Spouse),JKL Insurance,2024-04-15,,WNID004,Stable,Physical Therapy,Banking Information JKL,Active,834EEEEFE0,8F4D4690DE118A916B90C685EF6A5CAF,
PID033,Amelia,Reyes,Female,1995-12-30,"3030 Maple St, City",555-3456,amelia.reyes@example.com,Daniel Reyes (Parent),MNO Insurance,2024-05-20,,WNID001,Recovering,Observation,Banking Information MNO,Active,296540F791,F000ED3045C520A078D8974ACF32E0F0,
PID034,Sebastian,Lewis,Male,1987-03-17,"3131 Oak St, Suburb",555-6789,sebastian.lewis@example.com,Ava Lewis (Spouse),PQR Insurance,2024-06-10,,WNID002,Improving,Medication,Banking Information PQR,Active,2EA76A1F7A,D51C75A536E0A466DEC49713277936A0,
PID035,Sophia,Ford,Female,1977-07-08,"3232 Cedar St, Downtown",555-9012,sophia.ford@example.com,William Ford (Parent),STU Insurance,2024-07-05,,WNID003,Critical,Surgery,Banking Information STU,Active,C48E721B87,4C6289AEAA599A9DEEE2AE21A374F65E,
PID036,Alexander,Howard,Male,1990-10-01,"3333 Elm St, Suburb",555-2345,alexander.howard@example.com,Olivia Howard (Sibling),VWX Insurance,2024-08-15,,WNID004,Stable,Physical Therapy,Banking Information VWX,Active,50C3FEB461,036889C6749402A3D8C88010C7564FF1,
PID037,Madison,Barnes,Female,1982-04-18,"3434 Walnut St, Town",555-5678,madison.barnes@example.com,Ethan Barnes (Spouse),YZA Insurance,2024-09-20,,WNID001,Recovering,Observation,Banking Information YZA,Active,52EC695ADB,EC5C8F1C0DD82AEAADA86685DD353CD7,
PID038,Benjamin,Harris,Male,1993-06-25,"3535 Pine St, Countryside",555-8901,benjamin.harris@example.com,Avery Harris (Sibling),ZAB Insurance,2024-10-10,,WNID002,Improving,Medication,Banking Information ZAB,Active,62DEFD4AD8,9703C390FEC1C343D16DE8D74BA01B94,
PID039,Abigail,Cooper,Female,1975-08-11,"3636 Elm St, Suburb",555-2345,abigail.cooper@example.com,James Cooper (Spouse),BCD Insurance,2024-11-15,,WNID003,Critical,Surgery,Banking Information BCD,Active,1973E1DBBC,572AB996B7461EF9C7BB07FE4AEBD5C4,
PID040,Henry,Ross,Male,1984-11-03,"3737 Cedar St, Downtown",555-6789,henry.ross@example.com,Charlotte Ross (Parent),CDE Insurance,2024-12-05,,WNID004,Stable,Physical Therapy,Banking Information CDE,Active,03552B3E4A,0EB1D2BA3F3A640130E31FF690D5A7E4,
PID041,Mia,Parker,Female,1996-01-15,"3838 Oak St, Suburb",555-0123,mia.parker@example.com,Liam Parker (Parent),DEF Insurance,2025-01-10,,WNID001,Recovering,Observation,Banking Information DEF,Active,B1B3A8E474,A84263FE86697270AF6579B7F43B5C25,
PID042,Ethan,Watson,Male,1988-02-27,"3939 Maple St, City",555-3456,ethan.watson@example.com,Ava Watson (Spouse),EFG Insurance,2025-02-15,,WNID002,Improving,Medication,Banking Information EFG,Active,BC17389EBA,D516E943650D2644F404702D66A03404,
PID043,Charlotte,Sanders,Female,1976-05-09,"4040 Walnut St, Town",555-6789,charlotte.sanders@example.com,Mason Sanders (Spouse),FGH Insurance,2025-03-20,,WNID003,Critical,Surgery,Banking Information FGH,Active,CE06EFCF67,1FD3183EFD906A7FB7A325F556CDEFAD,
PID044,Daniel,Gonzalez,Male,1989-07-22,"4141 Pine St, Countryside",555-9012,daniel.gonzalez@example.com,Sophia Gonzalez (Spouse),GHI Insurance,2025-04-10,,WNID004,Stable,Physical Therapy,Banking Information GHI,Active,2BF5EB7B12,9169B3FC0BFFB35D5AC3BCB5C412D236,
PID045,Sophia,Wright,Female,1981-09-14,"4242 Elm St, Suburb",555-2345,sophia.wright@example.com,Ethan Wright (Spouse),HIJ Insurance,2025-05-15,,WNID001,Recovering,Observation,Banking Information HIJ,Active,E570B25FE5,25BC93267F5B00F6BB7028DE527A76EC,
PID046,Liam,Murphy,Male,1992-11-26,"4343 Cedar St, Downtown",555-5678,liam.murphy@example.com,Avery Murphy (Sibling),IJK Insurance,2025-06-10,,WNID002,Improving,Medication,Banking Information IJK,Active,32AEF5FB6F,FD18CCE752EE8289D6F3AD064AFAE72D,
PID047,Amelia,Rivera,Female,1974-01-08,"4444 Oak St, Suburb",555-8901,amelia.rivera@example.com,James Rivera (Spouse),JKL Insurance,2025-07-20,,WNID003,Critical,Surgery,Banking Information JKL,Active,26B7B76041,B01595C804DA7E11F9F4B692B1D1C0A7,
PID048,Mason,Ward,Male,1985-03-21,"4545 Maple St, City",555-0123,mason.ward@example.com,Charlotte Ward (Parent),KLM Insurance,2025-08-05,,WNID004,Stable,Physical Therapy,Banking Information KLM,Active,21EDD38194,7BACF7B75C3B6BA603B8A76108D8B3EA,
PID049,Harper,Evans,Female,1997-05-04,"4646 Walnut St, Town",555-3456,harper.evans@example.com,Liam Evans (Parent),LMN Insurance,2025-09-10,,WNID001,Recovering,Observation,Banking Information LMN,Active,DBEC312E4E,CFB12A62847311727DDDC42818CC8845,
PID050,Sebastian,Lopez,Male,1987-07-17,"4747 Pine St, Countryside",555-6789,sebastian.lopez@example.com,Ava Lopez (Spouse),MNO Insurance,2025-10-15,,WNID002,Improving,Medication,Banking Information MNO,Active,A994C48964,358EC72DE4D654FB0CF55A44F78467ED,
PID051,Avery,Perez,Female,1979-08-30,"4848 Elm St, Suburb",555-9012,avery.perez@example.com,Mason Perez (Spouse),NOP Insurance,2025-11-20,,WNID003,Critical,Surgery,Banking Information NOP,Active,92440B3FDA,F00640AD6C580367939BA5A672A52FE5,
PID052,Evelyn,Gomez,Female,1990-10-12,"4949 Cedar St, Downtown",555-2345,evelyn.gomez@example.com,Sophia Gomez (Spouse),OPQ Insurance,2025-12-05,,WNID004,Stable,Physical Therapy,Banking Information OPQ,Active,AB1AF7F6A3,9681E046E8E1BFB87113568CBDAEFC19,
PID053,Oliver,Flores,Male,1983-12-25,"5050 Oak St, Suburb",555-5678,oliver.flores@example.com,Ella Flores (Spouse),PQR Insurance,2026-01-10,,WNID001,Recovering,Observation,Banking Information PQR,Active,E54387DA4B,8BE80C232C78334D3DEAD7D296169B88,
PID054,Scarlett,Long,Female,1994-02-07,"5151 Maple St, City",555-8901,scarlett.long@example.com,Noah Long (Sibling),QRS Insurance,2026-02-15,,WNID002,Improving,Medication,Banking Information QRS,Active,34CD26D951,CB8C040519CA16D4A1475B4AABF5370E,
PID055,Jack,Hughes,Male,1976-04-19,"5252 Walnut St, Town",555-0123,jack.hughes@example.com,Mia Hughes (Spouse),RST Insurance,2026-03-20,,WNID003,Critical,Surgery,Banking Information RST,Active,C4D8E20F3E,DB24755FE198CFB318AE7F2A99975B7B,
PID056,Aria,Nguyen,Female,1988-06-02,"5353 Pine St, Countryside",555-3456,aria.nguyen@example.com,Ethan Nguyen (Parent),STU Insurance,2026-04-25,,WNID004,Stable,Physical Therapy,Banking Information STU,Active,A52CD60158,DE9C7D704B4313D328ADFE31C2003820,
PID057,Logan,Russell,Male,1999-07-15,"5454 Elm St, Suburb",555-6789,logan.russell@example.com,Olivia Russell (Parent),TUV Insurance,2026-05-30,,WNID001,Recovering,Observation,Banking Information TUV,Active,5965BA4CBF,3E5512C29E65D7A423A66A135E02DC03,
PID058,Lily,Perry,Female,1980-09-28,"5555 Cedar St, Downtown",555-9012,lily.perry@example.com,Lucas Perry (Sibling),UVW Insurance,2026-06-05,,WNID002,Improving,Medication,Banking Information UVW,Active,12F784C80D,8C273A3749A1A1E5B72F337212D028C7,
PID059,William,Kim,Male,1991-11-10,"5656 Oak St, Suburb",555-2345,william.kim@example.com,Chloe Kim (Spouse),VWX Insurance,2026-07-10,,WNID003,Critical,Surgery,Banking Information VWX,Active,1F113EB02E,0EC4A664D7673F9A7E49FD4EF9AF1384,
PID060,Victoria,Hill,Female,1972-01-23,"5757 Maple St, City",555-5678,victoria.hill@example.com,Eli Hill (Spouse),WXY Insurance,2026-08-15,,WNID004,Stable,Physical Therapy,Banking Information WXY,Active,91B6F1CA2F,BA92FF6A3649F40BD0D7F8975E3C0A50,
PID061,Ethan,Garcia,Male,1985-03-14,"5858 Walnut St, Town",555-1234,ethan.garcia@example.com,Amelia Garcia (Parent),XYZ Insurance,2026-09-20,,WNID001,Recovering,Observation,Banking Information XYZ,Active,82E58C5F03,6F65E02D95659DC9C3D9C163950E6BDE,
PID062,Amelia,Evans,Female,1996-05-27,"5959 Pine St, Countryside",555-4567,amelia.evans@example.com,Noah Evans (Sibling),YZA Insurance,2026-10-25,,WNID002,Improving,Medication,Banking Information YZA,Active,73C3D8E82E,BE6C34F01A97DAF05F964434775F03F1,
PID063,Mason,Turner,Male,1978-07-09,"6060 Elm St, Suburb",555-7890,mason.turner@example.com,Sophia Turner (Spouse),ZAB Insurance,2026-11-30,,WNID003,Critical,Surgery,Banking Information ZAB,Active,C4BBD12E8D,47239F9D12D8A1487C39F6200DCCA56A,
PID064,Harper,Collins,Female,1989-08-22,"6161 Cedar St, Downtown",555-0123,harper.collins@example.com,Mia Collins (Parent),ABC Insurance,2026-12-05,,WNID004,Stable,Physical Therapy,Banking Information ABC,Active,2E9284B172,F937BFD416C9A6264A9DBFDB356BBFEB,
PID065,Elijah,Perez,Male,1992-10-04,"6262 Oak St, Suburb",555-3456,elijah.perez@example.com,Ava Perez (Spouse),BCD Insurance,2027-01-10,,WNID001,Recovering,Observation,Banking Information BCD,Active,2454CB8C66,6D4C9AC46F5F6C9F4EBDBBCBD087FD8B,
PID066,Avery,Cook,Female,1983-11-17,"6363 Maple St, City",555-6789,avery.cook@example.com,Logan Cook (Sibling),CDE Insurance,2027-02-15,,WNID002,Improving,Medication,Banking Information CDE,Active,EEFCA15A54,F79B6F9F622FC3A7CF69850FA84EED20,
PID067,Evelyn,Murphy,Female,1994-12-30,"6464 Walnut St, Town",555-9012,evelyn.murphy@example.com,Liam Murphy (Sibling),DEF Insurance,2027-03-20,,WNID003,Critical,Surgery,Banking Information DEF,Active,E5DA222E90,B99779B4765D02DDF3B9A15965659DB6,
PID068,Daniel,Rivera,Male,1975-02-12,"6565 Pine St, Countryside",555-2345,daniel.rivera@example.com,Charlotte Rivera (Spouse),EFG Insurance,2027-04-25,,WNID004,Stable,Physical Therapy,Banking Information EFG,Active,B36F3D7724,4E83F5ACF75CD1812848498D4DCC3486,
